victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
bataviacontainer;abyss;19/12/2024;Usa;Manufacturing;140;$28.8M;;
Banner Day Camp;lynx;19/12/2024;Usa;Service;89;$53M;;
Trev Deeley Motorcycles;hunters;18/12/2024;Canada;Automotive;131;$21.7M;;
Microvision;hunters;18/12/2024 ;Usa;Electronic;340;$9M;;
Astaphans;hunters;18/12/2024 ;Dominican republic;Retail;25;$5.3M;;
Archetype Group;hunters;18/12/2024 ;Vietnam;Construction;77;$8.2M;;
Development Bank of Jamaica;hunters;18/12/2024 ;Jamaica;Financial;116;$20.5M;;
National Atomic Energy Commission;moneymessage;18/12/2024 ;Argentina;Energy;2226;$238.2M;;
Verosa ;killsec;18/12/2024 ;Canada;Education;<25;<$5M;;
Cottrell Fletcher & Cottrell P.C.;bianlian;18/12/2024 ;Usa;Law;<25;<$5M;;
Giordano DelCollo Werb & Gagne;bianlian;18/12/2024 ;Usa;Law;31;$5.8M;;
Reliance Connects ;fog;18/12/2024 ;Usa;Service;100;;;
Vroninks Ricker Weyts & Sacre- Notaires ;fog;18/12/2024 ;Belgium;Financial;;;;
